key,species,phylum
PH,phyliospadix,grasses
ZO,zostera,grasses
AC,articulated_coraline,grasses
BH,diatom_mats,grasses
BT,begglatoa,green_algae
AP,acrosiphonia,green_algae
CL,cladophora,green_algae
CF,codium_fragile,green_algae
CS,codium_setchelli,green_algae
UL,ulva,green_algae
AB,a_clathratum,brown_algae
AM,a_marginata,brown_algae
AA,a_nana,brown_algae
AF,a_fimbriatum,brown_algae
CP,colpomenia,brown_algae
CO,costaria,brown_algae
CY,cymathere,brown_algae
CG,cystoseria,brown_algae
DB,dictyota,brown_algae
DA,d_aculeata,brown_algae
DF,d_follacea,brown_algae
DL,d_ligulata,brown_algae
DM,d_munda,brown_algae
DV,d_viridis,brown_algae
DY,dictyoneurym,brown_algae
EG,egregia,brown_algae
EI,eisenia,brown_algae
FU,fucus,brown_algae
HE,hedophyllum,brown_algae
LB,l_bongardiana,brown_algae
LS,l_saccharina,brown_algae
LT,l_setchelli,brown_algae
LY,l_yezoensis,brown_algae
LE,leathesia,brown_algae
LO,lessoniopsis,brown_algae
MA,macrocystis,brown_algae
NT,nereocystsic,brown_algae
PV,pelvetiopsis,brown_algae
PL,pleurophycus ,brown_algae
PP,postella,brown_algae
PT,pterygophora,brown_algae
SL,scytosiphon,brown_algae
SA,sargassum,brown_algae
CN,constantinea,red_algae
CR,cryptopheura,red_algae
FA,fauchea,red_algae
GI,gigartina,red_algae
GR,gracllaria,red_algae
HA,haloscaccion,red_algae
IR,iridea,red_algae
PO,porphyra,red_algae
PR,prionitis,red_algae
TC,tan_cup_coral,cnidarian
SC,pink_soft_coral,cnidarian
HF,flat_hydrocoral,cnidarian
HE,erect_hydrocoral,cnidarian
SP,sea_pen,cnidarian
HY,hydrozoans,cnidarian
PL,short_plumose_anenome,cnidarian
CA,crimson_anemone,cnidarian
PA,painted_anemone,cnidarian
WS,white_spot_anemone,cnidarian
FE,fish_eating_anemone,cnidarian
RA,stubby_rose_anemone,cnidarian
SR,stand_rose_anemone,cnidarian
SI,swimming_anemone,cnidarian
GA,green_surf_anemone,cnidarian
PT,pink_tip_anemone,cnidarian
AA,burrowing_anemone,cnidarian
BA,brooding_anemone,cnidarian
SA,strawberry_anemone,cnidarian
ZO,zooanthids,cnidarian
FD,feather_duster_worm,polychaetes
FW,filament_worm,polychaetes
SF,slime_feather_duster,polychaetes
GC,gumboot_chiton,chitons
LC,black_leather_chiton,chitons
OC,octopus,cephalopods
MS,moon_snail,gastropods
FS,fusitriton,gastropods
LH,leafy_hornmouth,gastropods
AG,red_turban_snail,gastropods
BT,black_turban,gastropods
PR,purple_ring_snail,gastropods
ME,hooded_nudibranch,nudibranch
DI,giant_dentronotus,nudibranch
CI,ciona_savignyl,tunicates
IC,ciona_intestinalis,tunicates
ST,invasive_stalked_turn,tunicates
SM,stalked_tunicate,tunicates
HA,sea_peach,tunicates
CF,broad_base_tunicate,tunicates
OT,orange_social_tunicate,tunicates
DD,didemnum,tunicates
CM,coumpnd_tun,tunicates
SL,solitary_tun,tunicates
OR,oyster,bivalves
MU,blue_mussels,bivalves
MC,california_museel,bivalves
PI,piddock,bivalves
SS,swimming_scallop,bivalves
RS,rock_scallop,bivalves
GF,green_false_jingle,bivalves
GB,giant_barnacle,crustaceans
TB,thatched_barnacle,crustaceans
OB,barnacle,crustaceans
RR,red_rock_crab,crustaceans
DC,dungeness_crab,crustaceans
CG,cancer_gracillis,crustaceans
CB,hairy_cancer_grab,crustaceans
PS,puget_sound_king_crab,crustaceans
HC,heart_crab,crustaceans
UC,umbrella_butterfly_crab,crustaceans
HM,helmet crab,crustaceans
PW,scaled_crab,crustaceans
KC,kelp_crab,crustaceans
RC,decorator_crab,crustaceans
CT,crab,crustaceans
SH,shrimp,crustaceans
PU,purple_urchin,echinoderms
SD,sand_dollar,echinoderms
SO,solaster,echinoderms
PB,giant_pink_star,echinoderms
CP,rose_star,echinoderms
PO,ochre_star,echinoderms
AM,bat_star,echinoderms
LS,leather_star,echinoderms
VS,vermillion_star,echinoderms
CS,cookie_star,echinoderms
CU,cushion_star,echinoderms
HR,blood_star,echinoderms
MT,mottled_star,echinoderms
PN,painted_star,echinoderms
VC,velcro_star,echinoderms
ZS,brittle_star,echinoderms
GE,basket_star,echinoderms
WC,white_cucumbers,echinoderms
CR,crinoids,echinoderms
BP,bryozoan_flat,bryozoa
LF,horse_clam,mollusk
NA.,tube_dwell_anemone,cnidarian
LA,sponge_erect,porifera
BB,sponge_flat,porifera
DG,red_sea_cucumber,echinoderms
AL,green_urchin,echinoderms
GH,pycnopodia,echinoderms
OP,orange_cuke,echinoderms
BF,cup_coral,cnidarian
LG,abalone,mollusk
RH,red_urchin,echinoderms
EN,geoduck,mollusk
RB,bryozoan_erect,bryozoa
RF,gian_plumose,cnidarian
FC,NA,NA
SU,NA,NA
DN,NA,NA
DE,NA,NA
