key,species,phylum
TC,tan_cup_coral,cnidarian
SC,pink_soft_coral,cnidarian
HF,flat_hydrocoral,cnidarian
HE,erect_hydrocoral,cnidarian
SP,sea_pen,cnidarian
HY,hydrozoans,cnidarian
PL,short_plumose_anenome,cnidarian
CA,crimson_anemone,cnidarian
PA,painted_anemone,cnidarian
WS,white_spot_anemone,cnidarian
FE,fish_eating_anemone,cnidarian
RA,stubby_rose_anemone,cnidarian
SR,stand_rose_anemone,cnidarian
SI,swimming_anemone,cnidarian
GA,green_surf_anemone,cnidarian
PT,pink_tip_anemone,cnidarian
AA,burrowing_anemone,cnidarian
BA,brooding_anemone,cnidarian
SA,strawberry_anemone,cnidarian
ZO,zooanthids,cnidarian
FD,feather_duster_worm,polychaetes
FW,filament_worm,polychaetes
SF,slime_feather_duster,polychaetes
GC,gumboot_chiton,chitons
LC,black_leather_chiton,chitons
OC,octopus,cephalopods
MS,moon_snail,gastropods
FS,fusitriton,gastropods
LH,leafy_hornmouth,gastropods
AG,red_turban_snail,gastropods
BT,black_turban,gastropods
PR,purple_ring_snail,gastropods
ME,hooded_nudibranch,nudibranch
DI,giant_dentronotus,nudibranch
CI,ciona_savignyl,tunicates
IC,ciona_intestinalis,tunicates
ST,invasive_stalked_turn,tunicates
SM,stalked_tunicate,tunicates
HA,sea_peach,tunicates
CF,broad_base_tunicate,tunicates
OT,orange_social_tunicate,tunicates
DD,didemnum,tunicates
CM,coumpnd_tun,tunicates
SL,solitary_tun,tunicates
OR,oyster,bivalves
MU,blue_mussels,bivalves
MC,california_museel,bivalves
PI,piddock,bivalves
SS,swimming_scallop,bivalves
RS,rock_scallop,bivalves
GF,green_false_jingle,bivalves
GB,giant_barnacle,crustaceans
TB,thatched_barnacle,crustaceans
OB,barnacle,crustaceans
RR,red_rock_crab,crustaceans
DC,dungeness_crab,crustaceans
CG,cancer_gracillis,crustaceans
CB,hairy_cancer_grab,crustaceans
PS,puget_sound_king_crab,crustaceans
HC,heart_crab,crustaceans
UC,umbrella_butterfly_crab,crustaceans
HM,helmet crab,crustaceans
PW,scaled_crab,crustaceans
KC,kelp_crab,crustaceans
RC,decorator_crab,crustaceans
CT,crab,crustaceans
SH,shrimp,crustaceans
PU,purple_urchin,echinoderms
SD,sand_dollar,echinoderms
SO,solaster,echinoderms
PB,giant_pink_star,echinoderms
CP,rose_star,echinoderms
PO,ochre_star,echinoderms
AM,bat_star,echinoderms
LS,leather_star,echinoderms
VS,vermillion_star,echinoderms
CS,cookie_star,echinoderms
CU,cushion_star,echinoderms
HR,blood_star,echinoderms
MT,mottled_star,echinoderms
PN,painted_star,echinoderms
VC,velcro_star,echinoderms
ZS,brittle_star,echinoderms
GE,basket_star,echinoderms
WC,white_cucumbers,echinoderms
CR,crinoids,echinoderms
